taxid	scientific_name	kegg
1450761	Aneurinibacillus sp. XH2	anx
1452	Bacillus atrophaeus	bae
145261	Methanothermobacter wolfeii	mwo
1453352	Sediminicola sp. YIK13	syi
145388	Monoraphidium neglectum	mng
145458	Rathayibacter toxicus	rtx
1455	Bacillus badius	bbad
1457250	Halapricum salinum	hsn
1458307	Octadecabacter temperatus	otm
1458425	Serpentinomonas raichei	cbaa
1458426	Serpentinomonas mccroryi	cbab
1459	Sporosarcina globispora	1459
146017	Mycolicibacterium boenickei	mbok
1462747	Thermosipho sp. 1063	thp
1462996	Paenibacillus yonginensis	pyg
146827	Corynebacterium simulans	csp
146922	Streptomyces griseofuscus	sgf
146923	Streptomyces parvulus	spav
1469502	Burkholderiales bacterium GJ-E10	bbag
1470200	Neisseria arctica	naw
1470434	Zhongshania aliphaticivorans	zal
1471761	Novibacillus thermophilus	ntr
1472767	Lentibacillus amyloliquefaciens	lao
1476	Sporosarcina psychrophila	spsy
147645	Paracoccus yeei	pye
1479	Bacillus smithii	bsm
1482	Virgibacillus halodenitrificans	vhl
1484118	Hymenobacter sp. PAMC 26628	hyz
1484157	Pantoea sp. PSNIH2	panp
1484158	Pantoea sp. PSNIH1	pant
1484693	Rhodoferax saidenbachensis	rsb
1486034	Lacinutrix venerupis	lvn
1486262	Martelella endophytica	mey
1487956	Corynebacterium sp. ATCC 6931	coa
1490	Paraclostridium bifermentans	pbif
1490052	Anoxybacillus sp. B2M1	anm
1492	Clostridium butyricum	cbut
1492898	Flavisolibacter tropicus	fla
1494	Clostridium cochlearium	ccoh
1494608	Arthrobacter sp. PAMC 25486	arm
1495769	Candidatus Evansia muelleri	eme
1497	Clostridium formicaceticum	cfm
1500960	Campylobacter sp. RM16704	camr
1501268	Prochlorococcus sp. MIT 0604	prc
1501269	Prochlorococcus sp. MIT 0801	prm
1503054	Burkholderia stagnalis	bstg
1504	Clostridium septicum	csep
1504981	Halomonas sp. KO116	hak
1505	Paeniclostridium sordellii	psor
1505596	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	bed
1505597	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	ben
1505757	Siccibacter colletis	scol
1505907	Thermococcus eurythermalis	teu
1508404	Jeotgalibacillus malaysiensis	jeo
1508644	Candidatus Arthromitus sp. SFB-mouse-NL	aso
1512	[Clostridium] symbiosum	1512
1513468	Rouxiella chamberiensis	rcb
1514105	Erysipelothrix larvae	erl
1515612	Sphingopyxis fribergensis	sphk
151771	Dendronephthya gigantea	dgt
1518534	Anopheles coluzzii	acoz
1519	Clostridium tyrobutyricum	ctyk
1519377	Geobacillus sp. LC300	gel
1520	Clostridium beijerinckii	cbe
152297	Pseudoalteromonas issachenkonii	pia
152331	Lactobacillus parabuchneri	lpar
1526571	Lacimicrobium alkaliphilum	lal
1526658	Bosea vaviloviae	bvv
1526927	Planococcus sp. PAMC 21323	pln
1528	Eubacterium barkeri	1528
1528098	Rickettsiales bacterium Ac37b	rbt
1528099	Lawsonella clevelandensis	cbq
1529	Clostridium cadaveris	ccaa
1529069	Polaribacter sp. BM10	pola
1529436	Anneissia japonica	ajc
1532555	Brevundimonas sp. DS20	brd
153496	Kozakia baliensis	kba
1536769	Paenibacillus sp. FSL P4-0081	paen
1536770	Paenibacillus sp. FSL R5-0345	paef
1536772	Paenibacillus sp. FSL R7-0273	paea
1536773	Paenibacillus sp. FSL R7-0331	paee
1536774	Paenibacillus sp. FSL H7-0357	paeh
1536775	Paenibacillus sp. FSL H7-0737	paej
15368	Brachypodium distachyon	bdi
1538553	Methylomonas denitrificans	mdn
1538644	Sphingobacterium sp. ML3W	sht
1539298	Treponema sp. OMZ 838	trm
153948	Nitrosomonas sp. AL212	nit
154046	Hungatella hathewayi	hhj
1542390	Francisella frigiditurris	frc
1543721	Sedimenticola thiotaurini	seds
1545044	Paracoccus sanguinis	psan
1545702	Lactobacillus sp. wkB8	law
1545728	Mycobacterium sp. EPa45	mye
1547283	Bacillus weihaiensis	bwh
1547445	Francisella sp. FSC1006	frf
1547922	Ideonella sakaiensis	1547922
1548	Clostridium scatologenes	csq
1548547	Woeseia oceani	woc
154981	Aliiroseovarius crassostreae	acro
1549855	Haematospirillum jordaniae	hjo
1549858	Sphingomonas taxi	stax
155085	Staphylococcus lutrae	slz
1555112	Limnochorda pilosa	lpil
1560345	Sphingomonas panacis	span
1561	Clostridium baratii	cbv
1561022	Streptomyces sp. CCM_MD2014	strd
1561023	Curtobacterium sp. MR_MD2014	cum
1562970	Fermentimonas caenicola	pbt
1564114	Rhodococcus sp. B7740	rhb
1564506	Rhodovulum sp. P5	rhc
1564681	Carnobacterium sp. CP1	carc
1565605	Rugosibacter aromaticivorans	rbu
156563	Cyanistes caeruleus	ccae
1565991	Bacillus sp. X1(2014)	gst
1566358	Paenibacillus sp. IHBB 10380	pih
156978	Corynebacterium imitans	cii
1571	Sporosarcina ureae	sure
1572656	Ruminococcaceae bacterium CPB6	rbp
157687	Leptotrichia wadei	lwd
1577684	Candidatus Nanopusillus acidilobi	naa
1577791	Candidatus Methanoplasma termitum	mear
157782	Pseudomonas parafulva	ppv
157783	Pseudomonas cremoricolorata	psw
1578165	Mycobacteroides saopaulense	msao
1579979	Wenzhouxiangella marina	wma
1580092	Nitrosopumilus adriaticus	nin
1581557	Candidatus Methylopumilus planktonicus	mbat
1581680	Candidatus Methylopumilus turicensis	mbac
1582	Lactobacillus casei	lcx
1582439	Nitrosopumilus piranensis	nid
1583	Weissella confusa	wcf
158386	Olea europaea var. sylvestris	oeu
158441	Folsomia candida	fcd
158456	Betta splendens	bspl
158500	Novosphingobium resinovorum	nre
158627	Pseudomonas graminis	pgg
1586287	Lentzea guizhouensis	led
1587	Lactobacillus helveticus	lhe
158787	Bifidobacterium scardovii	bsca
1588023	Arthrobacter sp. Hiyo8	arh
158822	Cedecea neteri	cnt
158849	Moellerella wisconsensis	mwi
1592790	Sphingobium phenoxybenzoativorans	spph
1592897	Coxiella-like endosymbiont	ceq
1600	Lactobacillus acetotolerans	lae
1603555	Candidatus Nitrosotenuis cloacae	tah
1603606	Desulfuromonas soudanensis	des
1603886	Bifidobacterium lemurum	blem
1604	Lactobacillus amylovorus	lam
1604004	Halanaeroarchaeum sulfurireducens	hsu
160453	Enterococcus gilvus	egv
160488	Pseudomonas putida KT2440	ppu
160492	Xylella fastidiosa 9a5c	xfa
160660	Acidihalobacter prosperus	aprs
160799	Paenibacillus borealis	pbd
1608454	Sinocyclocheilus anshuiensis	sanh
1608473	Acinetobacter sp. NCu2D-2	aciu
1609559	Pyrococcus kukulkanii	pyc
1609758	Novosphingobium sp. P6W	nov
1609968	Methanobrevibacter sp. YE315	meye
1609977	Sphingomonas hengshuiensis	sphi
1610493	Tessaracoccus flavus	tfl
1610576	Halomonas sp. R57-5	ham
1612551	Actinoalloteichus sp. GBA129-24	acti
1613	Lactobacillus fermentum	lfe
161398	Pseudoalteromonas phenolica	pphe
1615909	Geminocystis sp. NIES-3708	gee
1616788	Paenibacillus bovis	pbv
1617448	Geminocystis sp. NIES-3709	gen
1618207	Psychromicrobium lacuslunae	ari
1618337	Berkelbacteria bacterium GW2011_GWE1_39_12	bbgw
1618372	Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16	mib
1618600	Candidatus Woesebacteria bacterium GW2011_GWF1_31_35	wba
1618633	Candidatus Campbellbacteria bacterium GW2011_OD1_34_28	cgw
161895	Corynebacterium phocae	cpho
161896	Corynebacterium camporealensis	ccj
161899	Corynebacterium singulare	csx
1619007	Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1	pwo
1619070	Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17	sbag
1619308	Cnuibacter physcomitrellae	cphy
1619313	Erwinia gerundensis	ege
161934	Beta vulgaris	bvg
162	Treponema phagedenis	tphg
1620392	Spongiibacter sp. IMCC21906	spoi
1620421	Hoeflea sp. IMCC20628	hoe
162209	Paenibacillus naphthalenovorans	pnp
1622118	Lutibacter profundi	lut
162425	Aspergillus nidulans	ani
162426	Microbacterium hominis	mhos
1629	Weissella viridescens	wvr
163003	Thermococcus cleftensis	thm
1630135	Dermabacter vaginalis	dva
1630693	Gemmata sp. SH-PL17	ges
163164	Wolbachia endosymbiont of Drosophila melanogaster	wol
1631871	Weissella jogaejeotgali	wjo
1632864	Planctomyces sp. SH-PL14	pls
1632865	Pirellula sp. SH-Sr6A	pir
163359	Acidiferrobacter thiooxydans	aty
1633874	Acetobacter oryzifermentans	asv
1634516	Citromicrobium sp. JL477	cij
1636152	Planctomyces sp. SH-PL62	plh
1637999	Verrucomicrobia bacterium IMCC26134	vba
1639348	Magnetospirillum sp. ME-1	magn
1642646	Petrimonas mucosa	pmuc
1642647	Proteiniphilum saccharofermentans	psac
1643450	Devosia sp. H5989	deq
1644130	Maribacter sp. 1_2014MBL_MicDiv	marm
1644131	Janthinobacterium sp. 1_2014MBL_MicDiv	jaz
1646377	Rouxiella badensis	rbad
1646498	Acinetobacter sp. TTH0-4	att
1647413	Anabaena sp. WA102	awa
164757	Mycobacterium sp. JLS	mjl
1648	Erysipelothrix rhusiopathiae	erh
1652495	Corynebacterium crudilactis	ccjz
1653476	Caldimicrobium thiodismutans	cthi
1653478	Rhodococcus sp. PBTS 1	rhu
1653480	Alloactinosynnema sp. L-07	alo
1655	Actinomyces naeslundii	ane
1658665	Mitsuaria sp. 7	miu
1658671	Arsenicicoccus sp. oral taxon 190	ars
1658672	Ottowia sp. oral taxon 894	oto
1660	Schaalia odontolytica	soo
1660073	Campylobacter sp. RM6137	camy
1661	Trueperella pyogenes	tpy
1662285	Methylophilus sp. TWE2	meu
166314	Synechococcus sp. WH 8109	syh
1663591	Magnetospirillum sp. XM-1	magx
166361	Onthophagus taurus	otu
1664069	Bacillus glycinifermentans	bgy
166486	Roseburia intestinalis	rix
1673428	Cuniculiplasma divulgatum	cdiv
1674923	Thermococcus sp. 2319x1	thv
1676925	Paramormyrops kingsleyae	pki
1678028	Massilia sp. NR 4-1	mnr
1678128	Limnohabitans sp. 63ED37-2	lih
1678129	Limnohabitans sp. 103DPR2	lim
1678678	Burkholderia sp. HB1	buq
1679444	Akkermansia glycaniphila	agl
1680	Bifidobacterium adolescentis	bad
1681	Bifidobacterium bifidum	bbp
1683	Bifidobacterium angulatum	bang
168384	Marvinbryantia formatexigens	mfor
1685	Bifidobacterium breve	bbv
1685010	Chryseobacterium glaciei	chh
1686310	Bartonella apis	bapi
1687	Bifidobacterium coryneforme	bcor
1689272	Vitreoscilla massiliensis	vms
1690248	Arthrobacter sp. LS16	arl
1690484	Hyphomonadaceae bacterium UKL13-1	hbc
